Title,Runtime
The Devil Wears Prada,1h 49m
Bad Boys: Ride or Die,1h 55m
Spaceballs,1h 36m
Emmanuelle,
Solo: A Star Wars Story,2h 15m
Venom,1h 52m
Beauty and the Beast,2h 9m
Love Actually,2h 15m
All Quiet on the Western Front,2h 28m
The Lighthouse,1h 49m
E.T. the Extra-Terrestrial,1h 55m
Alien: Covenant,2h 2m
Zootopia,1h 48m
Gangs of New York,2h 47m
The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m
Sicario: Day of the Soldado,2h 2m
A Few Good Men,2h 18m
M3GAN,1h 42m
Police Academy,1h 36m
The Six Triple Eight,2h 7m
Nightcrawler,1h 57m
The Imitation Game,1h 54m
The Lives of Others,2h 17m
All of Us Strangers,1h 45m
The Last Duel,2h 32m
Jack Reacher,2h 10m
The Killer,1h 58m
The Incredibles,1h 55m
Borderline,1h 34m
Les Misérables,2h 38m
Scott Pilgrim vs. the World,1h 52m
Dune,2h 17m
My Old Ass,1h 29m
The Deer Hunter,3h 3m
Fantastic Four,1h 46m
Baywatch,1h 56m
X-Men,1h 44m
Die Hard,2h 12m
Speed,1h 56m
Late Night with the Devil,1h 33m
The Last of the Mohicans,1h 52m
Spotlight,2h 9m
Dead Mail,
The Boy and the Heron,2h 4m
L.A. Confidential,2h 18m
Shazam! Fury of the Gods,2h 10m
Ant-Man and the Wasp,1h 58m
Triangle of Sadness,2h 27m
West Side Story,2h 36m
Bad Times at the El Royale,2h 21m
Argylle,2h 19m
Training Day,2h 2m
Summer of 69,
The Patriot,2h 45m
MadS,1h 29m
Crazy Rich Asians,2h
Hot Tub Time Machine,1h 39m
3 Idiots,2h 50m
Logan,2h 17m
Coco,1h 45m
Emilia Pérez,2h 12m
Toy Story,1h 21m
Survive,
The King's Man,2h 11m
For Your Eyes Only,2h 7m
The Nice Guys,1h 56m
The Maze Runner,1h 53m
Caddo Lake,1h 43m
Coherence,1h 29m
The Lost World: Jurassic Park,2h 9m
Spider-Man: Homecoming,2h 13m
,
Shooter,2h 4m
Ghostbusters,1h 45m
How to Make Millions Before Grandma Dies,2h 5m
Bring It On,1h 38m
Event Horizon,1h 36m
Transformers: The Last Knight,2h 34m
Frozen,1h 42m
Good Boy,
